ticker,market_cap,report_date,net_cash,ocf,revenue_yoy,gross_margin,cash_runway_months
AEYE,94523948.24,2025-02-14,0.0,0.0,,,Infinite
AEYE,94523948.24,2025-05-15,0.0,0.0,,,Infinite
AEYE,94523948.24,2025-08-14,-6383000.0,1215000.0,,77.3,Infinite
AEYE,94523948.24,2025-11-14,-8676000.0,1049000.0,,77.39,Infinite
AEYE,94523948.24,2026-02-14,-7912000.0,2533000.0,,78.94,Infinite
AEYE,94523948.24,2026-05-15,-8380000.0,1260000.0,,78.2,Infinite
AEYE,94523948.24,2026-08-14,-8021000.0,1017000.0,8.71,78.84,Infinite
AIRS,165818977.26,2025-02-14,0.0,0.0,,,Infinite
AIRS,165818977.26,2025-05-15,0.0,0.0,,,Infinite
AIRS,165818977.26,2025-08-14,-77115000.0,4984000.0,,60.92,Infinite
AIRS,165818977.26,2025-11-14,-21894000.0,-225000.0,,57.52,72.1
AIRS,165818977.26,2026-02-14,-75121000.0,-2531000.0,,59.11,10.0
AIRS,165818977.26,2026-05-15,-54326000.0,5271000.0,,60.43,Infinite
AIRS,165818977.26,2026-08-14,-51644000.0,-1238000.0,-2.53,61.38,45.6
AMST,6746346.34,2025-02-14,0.0,0.0,,,Infinite
AMST,6746346.34,2025-05-15,2858963.0,-677093.0,,,12.7
AMST,6746346.34,2025-09-29,2333418.0,-439444.0,,,15.9
AMST,6746346.34,2025-11-14,1830053.0,-415765.0,,,13.2
AMST,6746346.34,2026-02-14,1165369.0,-621084.0,,,5.6
AMST,6746346.34,2026-05-15,640711.0,-449158.0,171.53,,4.3
ANOT.ST,16299775.4,2025-02-14,0.0,0.0,,,Infinite
ANOT.ST,16299775.4,2025-05-15,0.0,0.0,,,Infinite
ANOT.ST,16299775.4,2025-08-14,-12084000.0,-11157000.0,,53.27,0.1
ANOT.ST,16299775.4,2025-11-14,-15830000.0,6494000.0,,39.58,Infinite
ANOT.ST,16299775.4,2026-02-14,-24362000.0,4538000.0,,57.93,Infinite
ANOT.ST,16299775.4,2026-05-15,-29406000.0,-2873000.0,,75.4,2.4
ANOT.ST,16299775.4,2026-08-14,-55275000.0,-10343000.0,64.41,54.25,0.3
ARBE,85360722.33,2025-02-14,0.0,0.0,,,Infinite
ARBE,85360722.33,2025-05-15,0.0,0.0,,,Infinite
ARBE,85360722.33,2025-08-14,-4825000.0,-11776000.0,,-67.52,1.7
ARBE,85360722.33,2025-11-14,-7417000.0,-11147000.0,,-95.67,1.1
ARBE,85360722.33,2026-02-14,-22759000.0,-9016000.0,,-16.59,1.3
ARBE,85360722.33,2026-05-15,-17402000.0,-8637000.0,,-27.55,2.9
ARBE,85360722.33,2026-08-14,-20870000.0,-11931000.0,156.57,-0.85,1.3
ASPO.HE,256296462.02,2025-02-14,0.0,0.0,,,Infinite
ASPO.HE,256296462.02,2025-05-15,-198100000.0,700000.0,,41.55,Infinite
ASPO.HE,256296462.02,2025-08-14,-224200000.0,22800000.0,,37.55,Infinite
ASPO.HE,256296462.02,2026-02-14,-201243000.0,25573000.0,,38.98,Infinite
ASPO.HE,256296462.02,2026-05-15,-161500000.0,-600000.0,-1.64,42.59,251.5
ASPO.HE,256296462.02,2026-08-14,-185000000.0,1000000.0,4.38,42.07,Infinite
ATOM,155315687.9,2025-02-14,0.0,0.0,,,Infinite
ATOM,155315687.9,2025-05-15,0.0,0.0,,,Infinite
ATOM,155315687.9,2025-08-14,20754000.0,-3505000.0,,,18.9
ATOM,155315687.9,2025-11-14,19528000.0,-3362000.0,,-1063.64,18.1
ATOM,155315687.9,2026-02-13,17931000.0,-3222000.0,,-162.0,17.9
ATOM,155315687.9,2026-05-15,12857000.0,-4607000.0,,-1045.45,9.2
ATOM,155315687.9,2026-08-14,13982000.0,-3897000.0,,83.54,11.7
AUST,15336161.19,2025-05-15,0.0,0.0,,,Infinite
AUST,15336161.19,2025-08-14,448765.0,-481901.0,,,2.8
AUST,15336161.19,2025-11-14,363431.0,-490088.0,,,2.2
AUST,15336161.19,2026-03-26,573159.0,-175849.0,,,9.8
AUST,15336161.19,2026-05-15,765529.0,-503612.0,,,4.6
AUST,15336161.19,2026-08-14,373080.0,-575136.0,,,1.9
BICO.ST,162647640.35,2025-02-14,0.0,0.0,,,Infinite
BICO.ST,162647640.35,2025-05-15,-811600000.0,76600000.0,,56.68,Infinite
BICO.ST,162647640.35,2025-08-14,-857700000.0,-28200000.0,,43.92,58.4
BICO.ST,162647640.35,2026-02-18,-89200000.0,51500000.0,,52.16,Infinite
BICO.ST,162647640.35,2026-05-15,53700000.0,47300000.0,-1.43,54.14,Infinite
BICO.ST,162647640.35,2026-08-14,-59100000.0,-53000000.0,3.67,59.27,35.5
CAMP,252895409.17,2025-02-14,0.0,0.0,,,Infinite
CAMP,252895409.17,2025-05-15,0.0,0.0,,,Infinite
CAMP,252895409.17,2025-08-14,31928000.0,-10343000.0,,,11.3
CAMP,252895409.17,2025-11-14,68909000.0,-11217000.0,,,20.1
CAMP,252895409.17,2026-02-14,107543000.0,6293000.0,,,Infinite
CAMP,252895409.17,2026-05-15,97087000.0,-10981000.0,,,27.1
CAMP,252895409.17,2026-08-14,84026000.0,-12686000.0,18.84,,20.4
CINT.ST,216549540.13,2025-02-14,-83704000.0,7329000.0,,88.72,Infinite
CINT.ST,216549540.13,2025-05-15,-12451000.0,10381000.0,,87.49,Infinite
CINT.ST,216549540.13,2025-08-14,-13674000.0,1606000.0,,88.83,Infinite
CINT.ST,216549540.13,2026-02-19,7783000.0,21369000.0,-8.49,87.84,Infinite
CINT.ST,216549540.13,2026-05-15,10169000.0,7789000.0,-5.34,86.41,Infinite
CISO,11153785.69,2025-02-14,0.0,0.0,,,Infinite
CISO,11153785.69,2025-05-15,0.0,0.0,,,Infinite
CISO,11153785.69,2025-08-14,-9675229.0,-2349824.0,,24.38,1.0
CISO,11153785.69,2025-11-14,-1425347.0,-876710.0,,24.87,3.8
CISO,11153785.69,2026-02-14,-1006311.0,-1791860.0,,28.62,2.8
CISO,11153785.69,2026-05-15,-1852695.0,-879816.0,,29.32,2.2
CISO,11153785.69,2026-08-14,-3764945.0,-68599.0,-13.73,24.57,31.6
CODX,6562439.84,2025-03-27,0.0,0.0,,,Infinite
CODX,6562439.84,2025-05-15,0.0,0.0,,,Infinite
CODX,6562439.84,2025-08-14,9411465.0,-8287830.0,,80.29,4.0
CODX,6562439.84,2025-11-14,9971844.0,-5904585.0,,81.92,5.8
CODX,6562439.84,2026-03-31,10648048.0,-6199298.0,,46.05,5.8
CODX,6562439.84,2026-05-15,6200630.0,-7846276.0,,-32.76,3.1
CODX,6562439.84,2026-08-14,1850484.0,-7153044.0,1.98,72.73,1.5
