ticker,market,market_cap_usd,market_cap_local,currency,current_price,adv_20d_local,adv_20d_usd
KAMUX.HE,FI,66548123.66,57936796.67,EUR,1.51,52430.39,60223.29
SSH1V.HE,FI,136432615.55,118778235.52,EUR,2.19,88552.52,101714.36
ASPO.HE,FI,256296462.02,223131700.64,EUR,7.2,90058.9,103444.64
DETEC.HE,FI,127937959.57,111382788.0,EUR,7.46,223109.74,256271.24
RAUTE.HE,FI,102476376.21,89215933.45,EUR,15.05,73282.91,84175.18
VIAFIN.HE,FI,78516352.92,68356337.1,EUR,19.7,66525.51,76413.41
DIGIA.HE,FI,171705795.84,149487066.4,EUR,5.5,49248.07,56567.97
EXEL.HE,FI,113743222.54,99024849.9,EUR,13.4,118807.41,136466.13
PIHLIS.HE,FI,287766147.57,250529208.98,EUR,11.4,175368.73,201434.33
VERK.HE,FI,180318899.15,156985634.16,EUR,3.53,132412.66,152093.56
LUC.ST,SE,188475815.04,1848274802.55,SEK,1.212,1065478.75,108651.04
ANOT.ST,SE,16299775.4,159842599.19,SEK,0.171,788036.88,80359.21
CINT.ST,SE,216549540.13,2123577809.87,SEK,5.98,1549160.86,157974.0
CTEK.ST,SE,101185000.53,992263579.5,SEK,14.1,569550.87,58079.33
PCELL.ST,SE,120746147.94,1184088593.48,SEK,20.62,2563689.58,261429.46
PRIC-B.ST,SE,68234911.66,669140854.2,SEK,4.12,685495.83,69902.69
SEDANA.ST,SE,106767866.2,1047011558.4,SEK,10.3,2438804.06,248694.39
STIL.ST,SE,221281908.86,2169985450.5,SEK,240.0,1692149.85,172555.14
TOBII.ST,SE,25642863.67,251464936.13,SEK,1.049,2752061.0,280638.43
VICO.ST,SE,296269310.28,2905344119.76,SEK,10.14,9691502.17,988280.4
BICO.ST,SE,162647640.35,1594992627.0,SEK,21.75,8419667.22,858586.42
ENEA.ST,SE,121835782.49,1194774018.0,SEK,64.6,1603184.23,163482.97
KNOW.ST,SE,263032059.38,2579405360.3,SEK,95.9,3032438.37,309229.61
MOB.ST,SE,50998808.78,500116225.6,SEK,10.84,505546.79,51552.58
MSAB-B.ST,SE,175146475.36,1717561572.0,SEK,92.8,2615112.49,266673.26
NIL-B.ST,SE,87667984.36,859709912.6,SEK,75.4,544840.41,55559.51
RAIL.ST,SE,74744519.0,732976860.0,SEK,29.7,830196.89,84658.43
SEZI.ST,SE,46091521.37,451993257.25,SEK,2.99,738617.45,75319.71
VOLO.ST,SE,234883908.13,2303372498.05,SEK,24.0,4911250.57,500819.44
ATOM,US,155315687.9,155315687.9,USD,3.98,1791122.4,1791122.4
STEM,US,45438229.66,45438229.66,USD,4.72,498000.99,498000.99
WATT,US,64445647.02,64445647.02,USD,11.66,1645974.75,1645974.75
MVIS,US,49859830.24,49859830.24,USD,1.63,2455646.44,2455646.44
VUZI,US,232139132.5,232139132.5,USD,2.75,1684337.7,1684337.7
OSS,US,226206971.49,226206971.49,USD,9.07,7343184.12,7343184.12
REKR,US,59183693.83,59183693.83,USD,0.43,835097.04,835097.04
AEYE,US,94523948.24,94523948.24,USD,7.52,1409434.99,1409434.99
AMST,US,6746346.34,6746346.34,USD,1.03,138399.75,138399.75
ARBE,US,85360722.33,85360722.33,USD,0.67,5009547.52,5009547.52
AUST,US,15336161.19,15336161.19,USD,1.12,67532.75,67532.75
CPIX,US,107728540.19,107728540.19,USD,7.19,457101.6,457101.6
CREX,US,36386301.91,36386301.91,USD,2.69,79680.1,79680.1
CISO,US,11153785.69,11153785.69,USD,0.245,56452.38,56452.38
DUOT,US,267516241.5,267516241.5,USD,8.5,7204676.41,7204676.41
ELTK,US,57597485.34,57597485.34,USD,8.57,130799.65,130799.65
HOLO,US,37576270.07,37576270.07,USD,1.64,686205.81,686205.81
IDAI,US,16410337.29,16410337.29,USD,2.91,129996.15,129996.15
MNDR,US,1720134.79,1720134.79,USD,1.44,62554.04,62554.04
PRSO,US,7257821.6,7257821.6,USD,0.48,148222.35,148222.35
QUIK,US,192702643.71,192702643.71,USD,10.52,2501209.44,2501209.44
REFR,US,13598436.04,13598436.04,USD,0.39,66272.0,66272.0
SGRP,US,19311021.0,19311021.0,USD,0.68,85917.85,85917.85
SLNH,US,291062798.25,291062798.25,USD,1.19,9359264.94,9359264.94
SOBR,US,738047.74,738047.74,USD,0.137,99293.17,99293.17
VERI,US,108493637.75,108493637.75,USD,1.08,3188138.35,3188138.35
WRAP,US,96989079.98,96989079.98,USD,1.57,1154088.25,1154088.25
AIRS,US,165818977.26,165818977.26,USD,2.3,2171420.54,2171420.54
CAMP,US,252895409.17,252895409.17,USD,4.03,1155480.68,1155480.68
CODX,US,6562439.84,6562439.84,USD,0.94,252291.11,252291.11
CPHI,US,30545620.5,30545620.5,USD,0.71,144469.35,144469.35
CRNT,US,192601870.74,192601870.74,USD,2.11,591730.34,591730.34
CSBR,US,70706329.46,70706329.46,USD,5.08,59619.3,59619.3
DRIO,US,68498369.95,68498369.95,USD,6.99,194872.45,194872.45
