Ticker_YF,Name,Market,MarketCap_EUR
AALLON.HE,Aallon Group Oyj,First North Suomi,35633407.00
ADMCM.HE,Admicom Oyj,First North Suomi,131328716.00
ADMIN.HE,Administer Oyj,First North Suomi,37264499.00
AFAGR.HE,Afarak Group SE,Nasdaq Helsinki Small Cap,67200020.00
AIFORIA.HE,Aiforia Technologies Oyj,First North Suomi,34208743.00
ALEX.HE,Alexandria Group Oyj,First North Suomi,161627402.00
ALISA.HE,Alisa Pankki Oyj,Nasdaq Helsinki Small Cap,20519802.00
ANORA.HE,Anora Group Plc,Nasdaq Helsinki Mid Cap,262108061.00
APETIT.HE,Apetit Plc,Nasdaq Helsinki Small Cap,76395239.00
ARVOSK.HE,Arvo Sijoitusosuuskunta,Nasdaq FI,66786540.00
ASPO.HE,Aspo Plc,Nasdaq Helsinki Mid Cap,226308861.00
ACG1V.HE,Aspocomp Group Plc,Nasdaq Helsinki Small Cap,41101362.00
ASUNTO.HE,Asuntosalkku Oyj,First North Suomi,76145000.00
BETOLAR.HE,Betolar Oyj,First North Suomi,18640998.00
BIOBV.HE,Biohit Oyj B,Nasdaq Helsinki Small Cap,36341366.00
BRETEC.HE,Bioretec Oy,First North Suomi,39985222.00
BOREO.HE,Boreo Oyj,Nasdaq Helsinki Small Cap,65147949.00
CANATU.HE,Canatu Oyj A,First North Suomi,193157433.00
CITYVA.HE,Cityvarasto Oyj,First North Suomi,107431028.00
CTH1V.HE,Componenta Corporation,Nasdaq Helsinki Small Cap,76679545.00
CONSTI.HE,Consti Plc,Nasdaq Helsinki Small Cap,91285106.00
DETEC.HE,Detection Technology Oyj,First North Suomi,112262126.00
DIGIA.HE,Digia Plc,Nasdaq Helsinki Mid Cap,149762491.00
DWF.HE,Digital Workforce Services Oyj,First North Suomi,30088519.00
DIGIGR.HE,Digitalist Group Plc,Nasdaq Helsinki Small Cap,4437954.00
DOV1V.HE,Dovre Group Plc,Nasdaq Helsinki Small Cap,7891239.00
DUELL.HE,Duell Oyj,First North Suomi,12388127.00
EAGLE.HE,Eagle Filters Group Plc,First North Suomi,24385309.00
EASOR.HE,Easor Oyj,Nasdaq Helsinki Small Cap,0.00
ECOUP.HE,EcoUp Oyj,First North Suomi,12196437.00
EEZY.HE,Eezy Oyj,Nasdaq Helsinki Small Cap,23794474.00
ELEAV.HE,Elecster Oyj A,Nasdaq Helsinki Small Cap,9370290.00
ESENSE.HE,Enersense International Oyj,Nasdaq Helsinki Small Cap,70752941.00
ETTE.HE,Etteplan Oyj,Nasdaq Helsinki Mid Cap,216788611.00
EXEL.HE,Exel Composites Plc,Nasdaq Helsinki Small Cap,92940487.00
FOAMIT.HE,Foamit Oyj,First North Suomi,31468656.00
FODELIA.HE,Fodelia Oyj,First North Suomi,35590298.00
FONDIA.HE,Fondia Oyj,First North Suomi,19330825.00
GLA1V.HE,Glaston Corporation,Nasdaq Helsinki Small Cap,41977222.00
GOFORE.HE,Gofore Plc,Nasdaq Helsinki Mid Cap,194947617.00
HRTIS.HE,Herantis Pharma Oyj,First North Suomi,38907601.00
HKFOODS.HE,HKFoods Oyj A,Nasdaq Helsinki Small Cap,149251228.00
HONBS.HE,Honkarakenne Oyj B,Nasdaq Helsinki Small Cap,14386483.00
ILKKA.HE,Ilkka Oyj,Nasdaq Helsinki Small Cap,101948567.00
ICP1V.HE,Incap Corporation,Nasdaq Helsinki Mid Cap,241470541.00
INDERES.HE,Inderes Oyj,First North Suomi,29393006.00
INVEST.HE,Investors House Oyj,Nasdaq Helsinki Small Cap,19733969.00
KAMUX.HE,Kamux Corporation,Nasdaq Helsinki Small Cap,58581851.00
KSL.HE,Keskisuomalainen Oyj,Nasdaq Helsinki Small Cap,100811585.00
KELAS.HE,Kesla Oyj A,Nasdaq Helsinki Small Cap,14461152.00
KHG.HE,KH Group Plc,Nasdaq Helsinki Small Cap,48786272.00
KOSKI.HE,Koskisen Oyj,Nasdaq Helsinki Mid Cap,201429594.00
KPYOSK.HE,KPY osk,Nasdaq FI,0.00
